wiek,dochod_miesieczny,zadluzenie,historia_kredytowa,stabilnosc_zatrudnienia,kwota_kredytu,okres_kredytu_mies,liczba_zaleglosci,rata_do_dochodu,decyzja
22.0,6230.05,1.015,0.163,0.721,19863.55,62.0,0.0,0.054,0
59.0,2947.11,0.568,0.214,0.479,16572.0,9.0,1.0,0.65,0
52.0,3358.96,0.326,0.606,0.832,84422.03,64.0,0.0,0.411,0
41.0,16944.84,0.552,0.204,0.181,24237.12,57.0,2.0,0.026,1
40.0,3641.74,0.46,0.738,0.661,78913.5,65.0,0.0,0.346,0
63.0,3967.95,0.943,0.296,0.837,10073.63,56.0,1.0,0.047,0
22.0,14856.14,0.182,0.623,0.318,35012.18,35.0,0.0,0.069,1
54.0,20000.0,0.517,0.54,0.839,96070.23,35.0,0.0,0.146,1
28.0,3836.64,0.45,0.379,0.404,25488.15,53.0,1.0,0.129,0
22.0,5507.39,0.214,0.689,0.658,21057.84,43.0,1.0,0.093,1
45.0,7579.92,0.606,0.613,0.709,11702.9,32.0,0.0,0.05,1
69.0,14150.02,0.456,0.938,0.573,50521.49,44.0,0.0,0.084,1
56.0,4169.17,0.179,0.613,0.177,15154.43,48.0,0.0,0.078,0
58.0,5820.74,0.302,0.618,0.378,23505.87,24.0,0.0,0.174,1
56.0,6460.21,0.472,0.563,0.466,11206.0,56.0,0.0,0.023,1
59.0,7904.62,0.385,0.83,0.676,68776.17,30.0,1.0,0.308,0
45.0,5487.82,0.195,0.276,0.217,52960.76,27.0,0.0,0.371,0
24.0,6120.12,0.433,0.613,0.703,24491.98,39.0,1.0,0.109,0
62.0,3501.18,0.496,0.429,0.507,11806.84,14.0,0.0,0.252,0
41.0,5839.38,0.472,0.618,0.64,67844.3,53.0,0.0,0.229,1
44.0,5765.71,0.965,0.624,0.057,19707.91,63.0,0.0,0.056,0
37.0,7215.84,0.5,0.535,0.824,12188.5,81.0,0.0,0.021,1
27.0,5062.73,0.821,0.498,0.348,7952.6,28.0,0.0,0.059,0
67.0,8036.51,0.155,0.371,0.413,16428.19,48.0,2.0,0.044,0
59.0,10252.53,0.396,0.789,0.8,9711.99,45.0,1.0,0.022,1
52.0,6970.91,0.396,0.261,0.286,16677.2,63.0,0.0,0.04,0
39.0,7614.79,0.485,0.159,0.127,40558.34,55.0,0.0,0.1,0
61.0,6657.35,0.365,0.798,0.507,19586.99,69.0,2.0,0.045,0
46.0,6500.25,0.409,0.831,0.908,31502.8,73.0,0.0,0.069,1
41.0,4697.83,0.883,0.423,0.42,15622.44,14.0,0.0,0.252,0
41.0,7494.91,0.366,0.531,0.564,26081.75,34.0,2.0,0.105,0
30.0,6221.58,0.394,0.617,0.519,87135.24,57.0,0.0,0.252,1
22.0,16671.95,0.254,0.457,0.536,19932.67,48.0,0.0,0.026,1
47.0,13194.66,0.115,0.754,0.375,32096.76,44.0,0.0,0.057,1
65.0,7732.51,0.332,0.46,0.441,9036.6,19.0,1.0,0.065,0
21.0,4610.92,0.201,0.43,0.55,67151.07,51.0,0.0,0.299,0
63.0,3940.14,0.737,0.599,0.227,18332.79,64.0,1.0,0.075,0
61.0,11109.68,0.349,0.374,0.716,49487.63,9.0,0.0,0.508,1
32.0,7315.82,0.831,0.047,0.293,23076.36,52.0,0.0,0.064,0
51.0,8067.69,0.156,0.681,0.918,37203.48,77.0,0.0,0.063,1
26.0,2964.59,0.462,0.755,0.612,38668.83,51.0,2.0,0.271,0
58.0,9866.54,0.363,0.613,0.803,18630.31,81.0,0.0,0.024,1
55.0,7974.84,0.672,0.384,0.459,50836.52,33.0,1.0,0.205,0
36.0,3943.66,0.865,0.511,0.356,15264.59,6.0,0.0,0.672,0
21.0,5257.29,0.782,0.256,0.383,41451.87,59.0,0.0,0.14,0
69.0,7319.01,0.527,0.5,0.553,19399.4,22.0,0.0,0.125,0
41.0,6655.29,0.477,0.457,0.48,31377.42,6.0,0.0,0.802,0
65.0,5699.2,0.312,0.759,0.709,18514.98,20.0,0.0,0.172,1
53.0,6204.24,0.764,0.12,0.687,25825.44,79.0,2.0,0.056,0
59.0,5803.22,0.62,0.858,0.661,12432.64,67.0,3.0,0.033,0
58.0,6961.92,0.524,0.638,0.72,29364.54,27.0,1.0,0.166,1
28.0,12603.49,0.478,0.472,0.668,25728.46,53.0,1.0,0.039,1
37.0,2047.88,0.106,0.74,0.485,17597.84,32.0,0.0,0.275,1
42.0,5842.86,0.398,0.768,0.314,24121.6,20.0,1.0,0.211,0
44.0,7037.36,0.265,0.505,0.389,27275.22,84.0,0.0,0.048,1
20.0,7426.09,0.267,0.833,0.581,16747.41,70.0,2.0,0.033,1
46.0,5498.31,0.294,0.535,0.42,22992.84,34.0,2.0,0.127,0
26.0,2948.44,0.379,0.524,0.659,13004.13,33.0,0.0,0.137,0
57.0,7533.8,0.162,0.917,0.27,114847.17,70.0,3.0,0.229,0
54.0,14141.44,0.148,0.876,0.637,49764.55,42.0,2.0,0.088,1
66.0,3259.47,0.459,0.923,0.558,29856.03,35.0,0.0,0.274,0
57.0,9588.12,0.218,0.33,0.326,53557.15,36.0,3.0,0.159,0
37.0,5606.72,0.383,0.762,0.293,6905.8,41.0,0.0,0.032,1
69.0,6323.08,0.339,0.727,0.857,4741.64,47.0,0.0,0.016,1
39.0,4047.09,0.511,0.499,0.58,19285.17,9.0,0.0,0.557,0
35.0,5591.78,0.385,0.453,0.272,10204.3,43.0,1.0,0.044,0
65.0,11667.68,0.484,0.283,0.831,21436.22,40.0,0.0,0.048,1
37.0,8448.57,0.279,0.616,0.848,28575.58,27.0,3.0,0.128,0
22.0,14173.05,0.248,0.687,0.643,45474.21,34.0,0.0,0.1,1
42.0,11041.24,0.352,0.608,0.33,11929.38,39.0,0.0,0.029,1
60.0,7920.0,0.988,0.589,0.428,32415.47,34.0,1.0,0.126,0
28.0,14247.38,0.308,0.434,0.068,25234.93,77.0,0.0,0.024,1
42.0,7919.67,0.456,0.435,0.3,31335.66,47.0,1.0,0.089,0
24.0,9434.72,0.533,0.479,0.397,17832.53,45.0,0.0,0.043,1
54.0,5687.92,0.2,0.502,0.557,61430.94,26.0,4.0,0.436,0
43.0,6697.59,0.395,0.623,0.719,23373.32,78.0,1.0,0.046,1
35.0,4749.13,0.486,0.813,0.356,79209.34,7.0,0.0,1.5,0
30.0,10146.36,0.775,0.488,0.162,14956.16,49.0,0.0,0.031,0
47.0,3825.03,0.484,0.842,0.179,40516.67,19.0,0.0,0.592,0
53.0,9242.94,0.522,0.893,0.623,24048.95,66.0,3.0,0.041,0
67.0,5965.6,0.531,0.367,0.8,20203.25,35.0,1.0,0.1,0
41.0,11010.65,0.774,0.267,0.4,37708.32,29.0,0.0,0.122,0
26.0,9112.92,0.598,0.652,0.617,20581.92,10.0,0.0,0.234,1
